student_id,age,gender,grade_level,study_hours_per_day,uses_ai,ai_usage_time_minutes,ai_usage_purpose,ai_dependency_score,ai_generated_content_percentage,ai_prompts_per_week,ai_ethics_score,last_exam_score,assignment_scores_avg,attendance_percentage,concept_understanding_score,study_consistency_index,improvement_rate,sleep_hours,social_media_hours,tutoring_hours,class_participation_score,final_score,passed,performance_category,ChatGPT_usage,Claude_usage,Copilot_usage,Gemini_usage
22,19,Female,1,1.5,1,124,,8,9,97,5,90,85.4,89.9,2,6.1,11.6,6.6,2.7,0.5,4,67.7,1,Medium,0,0,0,0
23,15,Male,1,2.3,0,80,Notes,5,72,72,1,20,41.9,86.2,5,8.9,16.8,8.2,4.6,4.7,2,36.8,0,Low,0,1,0,0
24,18,Female,12,3.5,1,6,Coding,7,77,60,7,90,69.6,72.7,3,7.6,27.2,8.6,4.1,4.0,1,68.4,1,Medium,0,0,0,0
25,14,Male,10,1.4,1,73,Exam Prep,6,65,1,9,86,96.9,72.4,10,8.7,-14.4,4.3,5.0,2.0,1,76.4,1,High,0,1,0,0
26,23,Female,11,0.6,1,82,Exam Prep,5,56,108,3,28,66.8,76.6,7,7.3,-8.5,8.6,0.3,4.9,1,40.3,1,Low,0,0,1,0
27,19,Female,12,2.4,0,23,,7,41,88,8,54,86.5,99.0,10,1.2,-3.1,4.9,0.3,4.9,7,60.3,1,Medium,1,0,0,0
28,22,Female,2,5.3,1,136,,4,53,75,3,32,47.9,42.0,2,8.9,8.2,7.0,3.4,5.0,3,29.0,0,Low,0,0,0,1
29,14,Male,11,0.7,1,113,Homework,7,84,54,3,45,34.1,68.3,7,6.6,15.1,6.2,2.3,1.9,1,36.4,0,Low,0,0,1,0
30,24,Female,2,2.9,0,14,Exam Prep,3,41,3,7,64,54.4,52.7,2,3.2,-1.7,7.5,4.8,2.7,5,47.7,1,Low,0,0,1,0
31,24,Male,12,4.7,1,112,Doubt Solving,8,65,114,6,70,70.2,76.4,7,7.1,-13.4,6.6,1.0,3.3,6,67.5,1,Medium,1,0,0,0
32,23,Male,10,5.7,1,121,Coding,10,69,103,5,44,74.8,75.0,7,5.6,10.4,5.9,1.5,4.1,1,68.6,1,Medium,1,0,0,0
33,16,Male,2,5.9,0,85,Coding,4,10,57,7,75,67.5,96.1,4,7.5,-16.4,4.4,2.5,1.0,2,57.6,1,Medium,0,1,0,0
34,20,Female,12,2.8,1,144,Homework,4,66,12,9,58,60.3,60.9,10,5.3,1.8,4.1,5.4,1.6,3,65.7,1,Medium,0,0,1,0
35,17,Male,11,5.7,1,18,,1,10,92,1,22,99.0,86.7,3,1.9,-17.4,5.2,0.8,1.8,3,57.0,1,Medium,0,0,1,0
36,22,Female,10,0.7,0,8,,8,3,95,10,94,78.2,83.5,9,9.2,-6.9,7.7,4.7,4.2,1,80.9,1,High,1,0,0,1
37,16,Male,2,4.6,0,63,Homework,5,78,26,1,72,96.8,66.4,1,7.1,-13.4,7.1,5.9,2.4,1,74.1,1,Medium,0,0,0,1
38,18,Male,12,4.0,1,37,Coding,9,89,29,5,52,42.4,71.6,4,7.4,6.8,6.1,4.5,2.9,4,46.9,1,Low,1,0,0,1
39,16,Female,10,1.9,1,135,Homework,3,99,109,8,81,100.0,67.7,10,7.9,-5.9,6.7,3.3,3.9,9,78.4,1,High,1,0,0,1
40,20,Male,10,3.3,0,133,Exam Prep,5,78,102,7,86,79.2,96.1,4,5.6,-16.7,7.0,3.3,3.2,3,65.6,1,Medium,0,0,0,1
41,18,Female,1,1.2,1,176,Exam Prep,4,48,61,7,88,98.0,46.7,8,7.4,-2.1,4.4,1.0,4.6,1,89.1,1,High,0,0,1,0
42,22,Male,10,5.3,1,101,Doubt Solving,7,21,64,3,23,72.4,75.5,4,2.9,33.6,5.6,2.6,0.8,3,38.0,0,Low,0,1,0,0
43,20,Female,12,2.5,0,172,,10,36,10,9,91,40.8,63.0,10,5.2,30.5,8.4,3.2,2.4,7,65.6,1,Medium,0,0,0,1
44,15,Female,11,3.9,1,148,Homework,5,9,86,5,78,54.4,45.7,5,7.2,33.0,7.7,3.0,1.9,7,59.8,1,Medium,1,0,0,0
45,17,Male,3,1.4,1,92,Coding,2,19,48,10,36,33.7,54.6,4,8.2,3.5,4.4,0.7,4.1,9,32.2,0,Low,0,0,1,0
46,22,Male,1,1.6,0,33,,6,95,16,3,41,40.6,76.8,1,9.7,32.7,5.4,0.9,2.4,8,39.4,0,Low,0,0,0,1
47,15,Female,12,6.0,1,139,,4,72,14,6,57,99.9,84.9,8,8.7,37.1,5.0,1.5,4.6,2,68.5,1,Medium,0,0,0,1
48,23,Female,12,4.6,1,38,Notes,6,49,26,8,50,94.1,70.7,2,1.4,37.5,5.9,3.1,1.4,1,50.9,1,Medium,0,0,0,0
49,22,Male,12,5.8,0,95,Coding,1,30,116,8,68,93.1,70.5,10,2.6,-12.5,8.9,1.0,1.2,5,70.9,1,Medium,0,0,0,1
50,23,Male,2,2.1,0,5,,1,43,9,4,71,30.1,78.7,5,7.1,29.4,6.9,1.7,2.9,1,42.8,1,Low,0,1,0,0
51,18,Female,2,1.4,0,80,Notes,4,30,79,4,57,61.5,48.9,10,1.7,0.2,4.8,2.1,0.2,1,56.3,1,Medium,1,0,0,1
52,15,Female,11,3.3,0,31,Notes,7,91,100,9,68,84.7,50.7,2,10.0,7.0,7.9,4.0,3.3,8,66.7,1,Medium,1,0,0,1
53,17,Male,12,3.2,0,135,Doubt Solving,7,74,27,10,46,45.9,97.6,5,5.2,19.3,6.9,2.0,3.8,9,47.0,1,Low,0,0,0,0
54,20,Female,2,1.5,1,165,Notes,1,99,1,2,42,59.4,97.8,4,7.2,25.5,8.3,4.2,1.3,2,49.7,1,Low,0,0,0,1
55,21,Male,2,4.5,1,146,Exam Prep,5,40,102,9,46,44.3,86.6,10,1.4,34.0,6.4,0.9,1.8,1,62.7,1,Medium,0,0,0,1
56,16,Female,2,2.5,0,8,Exam Prep,6,3,34,8,33,78.5,87.4,6,4.9,37.5,8.5,1.7,3.3,2,54.3,1,Medium,1,0,0,1
57,14,Male,11,1.5,1,179,,5,13,14,3,22,79.3,45.6,3,3.2,26.2,8.3,2.5,2.8,1,41.3,1,Low,0,1,0,0
58,17,Other,11,2.3,0,155,Doubt Solving,7,45,58,2,46,49.8,62.2,6,1.9,-5.6,4.3,1.6,3.1,5,55.1,1,Medium,0,0,1,0
59,15,Female,12,3.6,0,61,Coding,6,53,74,2,81,63.4,67.3,2,7.1,10.5,8.1,1.1,2.8,4,64.1,1,Medium,1,0,0,1
60,21,Female,1,4.5,0,175,Coding,5,92,32,1,33,61.6,48.6,3,9.8,0.7,4.6,5.8,2.5,9,39.4,0,Low,0,0,0,1
61,17,Female,12,3.2,1,113,,5,91,54,10,63,84.5,41.5,2,3.7,31.9,4.5,3.9,0.2,10,48.5,1,Low,0,1,0,0
62,15,Female,2,3.4,1,166,,9,88,79,9,44,77.3,53.3,5,9.4,9.7,4.8,0.1,1.9,8,52.5,1,Medium,0,1,0,0
63,19,Female,3,1.3,1,18,Coding,3,86,74,1,80,34.8,98.0,5,1.0,31.4,8.6,1.1,3.0,8,51.2,1,Medium,0,0,0,0
64,19,Male,2,5.5,1,32,Coding,9,32,83,2,94,40.6,95.6,8,7.0,38.5,6.5,4.0,4.0,6,58.4,1,Medium,0,0,0,1
65,23,Female,10,5.6,0,63,Exam Prep,2,29,51,7,71,88.8,54.0,6,5.8,-2.7,5.6,2.1,4.3,5,69.7,1,Medium,1,0,0,0
66,17,Female,3,4.3,0,25,Exam Prep,10,8,18,5,31,97.6,96.4,7,4.3,-18.2,4.3,3.1,1.8,3,54.2,1,Medium,0,1,0,0
67,19,Female,3,0.6,1,172,Doubt Solving,7,37,38,1,53,74.5,60.4,9,4.8,-7.1,4.6,4.8,3.5,1,56.5,1,Medium,1,0,0,1
68,15,Male,12,3.5,0,0,Doubt Solving,6,88,113,4,42,55.5,85.4,4,6.4,18.4,4.9,0.7,0.4,5,40.3,1,Low,1,0,0,0
69,23,Male,2,4.0,1,162,Doubt Solving,8,81,86,6,38,45.5,62.7,6,6.0,28.5,4.9,3.8,1.8,10,40.8,1,Low,0,0,0,0
70,15,Male,2,6.0,0,76,Coding,9,42,59,8,20,82.0,42.9,7,5.6,24.9,4.4,2.9,0.8,1,48.5,1,Low,0,0,1,0
71,23,Female,1,6.0,1,102,Coding,6,6,9,2,93,74.7,97.9,3,9.8,28.2,4.4,1.4,2.4,6,72.6,1,Medium,1,0,0,1
72,17,Male,10,5.2,1,95,Exam Prep,2,87,71,10,84,93.6,56.3,8,7.9,35.5,5.5,1.9,3.2,8,80.9,1,High,0,0,0,0
73,21,Female,12,0.9,0,172,Exam Prep,10,39,65,3,24,93.2,43.2,4,2.6,-6.5,6.7,0.2,4.7,1,49.0,1,Low,0,0,0,0
74,20,Female,11,5.7,1,75,Homework,4,84,55,7,76,51.5,99.6,4,9.3,-17.0,6.9,5.9,4.2,3,54.0,1,Medium,0,0,0,0
75,22,Female,12,3.9,1,32,Homework,3,61,6,1,41,86.2,78.4,2,5.4,-0.3,5.4,0.8,0.8,3,55.0,1,Medium,0,0,0,1
76,21,Female,3,4.9,0,81,,3,54,89,7,62,47.8,66.7,9,1.1,31.2,4.4,4.5,3.8,3,54.5,1,Medium,1,0,0,0
77,18,Male,12,2.7,1,68,Coding,5,34,39,1,21,84.7,89.5,9,8.1,23.7,7.0,2.6,2.9,3,47.0,1,Low,0,0,0,0
78,15,Male,1,2.3,0,82,,10,42,18,8,92,41.8,83.2,10,4.2,-18.0,7.3,2.8,4.1,7,73.5,1,Medium,0,0,0,0
79,18,Male,12,3.0,0,158,Exam Prep,1,10,69,6,26,54.3,65.6,10,10.0,-10.7,7.5,3.6,2.4,6,43.3,1,Low,0,0,0,0
80,21,Female,1,1.3,0,105,Coding,9,1,96,10,40,36.0,48.9,5,5.9,35.8,8.6,5.5,1.0,8,41.7,1,Low,1,0,0,1
81,23,Male,3,2.5,1,101,,4,78,118,7,90,50.7,79.8,8,3.4,9.8,4.2,3.4,0.4,9,72.4,1,Medium,0,0,0,0
82,22,Female,1,5.2,0,113,,7,78,10,2,78,52.3,93.3,8,7.8,18.4,5.1,4.8,1.3,2,62.3,1,Medium,0,1,0,0
83,22,Male,2,0.7,0,142,Notes,7,4,51,6,28,76.8,71.0,1,3.5,-14.3,6.9,5.1,1.0,2,39.8,0,Low,0,0,0,1
84,14,Male,11,1.3,1,45,Homework,7,39,99,5,59,80.1,73.5,3,1.2,14.6,4.1,3.9,3.1,8,63.2,1,Medium,1,0,0,0
85,22,Male,3,1.2,0,119,Doubt Solving,5,79,11,3,92,71.2,90.7,2,1.9,30.8,4.3,3.8,3.2,9,61.6,1,Medium,0,1,0,0
86,20,Female,1,2.7,1,47,Coding,4,45,91,9,68,83.9,96.7,5,6.9,34.1,6.0,5.2,2.2,3,63.6,1,Medium,0,0,0,0
87,22,Female,10,6.0,0,67,Notes,4,20,61,5,31,61.6,72.5,3,2.9,7.0,6.9,0.3,2.3,4,40.5,1,Low,0,0,0,1
88,21,Male,3,1.5,1,82,Doubt Solving,5,8,72,8,92,74.0,42.7,7,3.1,15.2,7.4,3.8,4.3,1,88.5,1,High,0,0,0,1
89,14,Female,10,1.3,1,84,,6,70,22,4,29,55.1,49.1,2,2.3,23.8,5.2,3.1,0.7,8,29.6,0,Low,1,0,0,0
90,21,Male,11,5.5,1,125,Notes,10,26,39,6,93,66.5,97.0,3,3.3,3.9,7.1,1.6,0.5,8,67.2,1,Medium,1,0,0,0
91,21,Other,1,5.4,0,167,Exam Prep,7,16,69,4,36,39.9,90.0,7,7.8,-2.5,5.8,4.7,0.4,8,37.1,0,Low,1,0,0,0
92,24,Female,3,0.7,1,120,Exam Prep,5,65,49,4,23,72.8,78.1,3,5.6,-14.7,6.8,1.8,2.4,2,31.8,0,Low,1,0,0,1
93,16,Male,3,4.6,1,128,Exam Prep,9,25,63,9,83,44.3,68.1,3,2.9,-8.3,7.3,4.7,3.9,8,60.8,1,Medium,0,0,0,1
94,14,Female,11,4.1,0,19,,9,71,18,5,35,62.3,64.7,5,3.2,39.0,5.3,5.5,3.3,9,40.0,1,Low,0,0,0,0
95,21,Male,2,4.7,0,149,Doubt Solving,1,44,83,1,68,76.6,42.6,1,4.4,32.3,5.8,3.4,0.4,4,56.6,1,Medium,0,0,1,0
96,16,Other,10,3.2,0,64,Doubt Solving,5,54,17,7,46,59.9,92.1,3,10.0,0.8,6.8,4.8,2.5,5,42.6,1,Low,0,1,0,0
97,16,Male,3,6.0,1,142,Exam Prep,2,39,26,3,25,45.6,62.4,2,2.6,29.8,5.2,1.6,0.2,7,43.5,1,Low,1,0,0,0
98,14,Female,12,0.7,1,60,,4,15,96,3,28,76.6,71.1,2,8.2,25.9,8.7,0.9,0.6,4,46.7,1,Low,0,0,0,1
99,24,Male,10,1.8,0,78,Doubt Solving,7,83,92,6,77,89.7,72.3,3,8.8,38.1,7.6,3.4,1.0,8,65.0,1,Medium,0,0,0,0
100,18,Female,1,2.7,0,13,Exam Prep,10,95,72,3,51,65.0,90.3,2,9.6,-17.6,7.1,2.6,2.1,5,46.1,1,Low,0,1,0,0
101,23,Female,11,3.0,0,68,Coding,6,31,108,1,57,69.0,51.8,3,6.4,14.7,7.6,2.5,1.8,1,46.4,1,Low,0,0,1,0
102,20,Female,10,5.6,0,121,Exam Prep,7,34,43,6,49,57.4,68.5,5,1.9,22.0,5.2,0.8,3.4,9,51.5,1,Medium,0,1,0,0
103,23,Female,12,3.6,1,48,,3,63,57,7,97,70.8,97.4,10,1.2,29.8,4.0,5.6,3.8,8,79.9,1,High,0,0,1,0
104,22,Female,12,0.7,1,133,Homework,5,63,61,5,64,64.7,82.6,10,5.0,28.2,7.2,0.6,4.5,4,74.1,1,Medium,0,0,0,0
105,20,Male,11,2.7,0,168,Coding,6,14,49,1,48,82.3,63.9,7,4.2,-3.4,8.8,1.7,3.0,4,62.0,1,Medium,1,0,0,0
106,22,Male,11,2.8,1,158,,6,41,90,2,41,46.8,77.9,4,8.8,22.2,7.3,2.8,1.3,3,37.3,0,Low,1,0,0,1
107,21,Male,10,5.8,1,115,Exam Prep,6,49,52,2,50,64.0,75.3,7,6.4,28.6,4.9,4.5,2.6,7,63.3,1,Medium,0,0,1,0
108,15,Other,1,3.8,1,89,Homework,9,31,102,10,36,52.1,72.7,5,8.6,11.0,8.3,3.8,3.2,6,40.3,1,Low,1,0,0,0
109,14,Male,2,4.0,1,88,Exam Prep,6,29,60,8,73,36.6,72.1,9,6.1,10.1,6.9,0.4,0.9,2,56.3,1,Medium,0,1,0,0
110,20,Female,12,4.4,0,178,Coding,2,82,74,8,98,57.1,83.1,4,3.0,6.5,7.1,0.3,2.1,9,66.4,1,Medium,0,0,0,0
111,20,Female,11,4.7,1,116,Exam Prep,9,23,49,8,66,96.7,92.9,3,2.8,-7.5,6.6,3.4,1.6,10,63.6,1,Medium,0,1,0,0
112,21,Male,2,4.0,0,121,Doubt Solving,4,65,53,2,51,62.2,64.7,2,4.6,30.0,7.7,0.1,3.2,1,43.3,1,Low,0,1,0,0
113,18,Male,2,1.8,1,176,Exam Prep,7,20,41,5,47,68.2,98.5,10,1.3,10.1,8.8,3.4,0.5,5,57.1,1,Medium,0,0,0,0
114,16,Male,2,5.3,1,167,Coding,6,41,58,5,30,82.0,64.2,4,5.5,-11.9,5.9,1.1,4.1,5,42.9,1,Low,0,0,0,0
115,21,Male,1,4.5,0,14,Notes,9,79,7,4,58,98.9,80.6,2,3.5,34.9,6.9,1.1,0.5,3,56.2,1,Medium,1,0,0,1
116,19,Male,11,4.6,1,6,Exam Prep,10,99,13,8,36,58.8,56.2,4,1.4,30.7,8.3,1.1,4.2,3,31.9,0,Low,0,0,0,1
117,24,Male,12,6.0,1,53,Doubt Solving,3,57,109,8,95,66.2,84.9,3,5.3,5.4,8.4,4.6,0.7,5,63.4,1,Medium,0,0,1,0
118,16,Female,11,4.9,1,179,Coding,8,1,12,9,58,97.8,63.3,9,6.8,26.9,8.1,2.8,3.9,8,80.1,1,High,0,0,0,0
119,14,Other,10,5.1,1,178,Homework,5,15,70,4,92,60.0,62.9,5,1.9,-10.0,6.8,1.3,4.3,10,67.5,1,Medium,0,0,0,1
120,16,Male,12,5.7,0,3,Notes,6,92,78,1,44,85.3,52.1,3,6.5,38.3,8.7,0.4,2.9,10,40.4,1,Low,0,1,0,0
121,18,Male,11,1.3,1,0,,3,6,101,9,45,61.1,44.2,7,9.5,-14.9,4.8,2.7,4.5,3,59.7,1,Medium,1,0,0,1
122,16,Male,12,3.2,1,104,Exam Prep,3,54,43,1,87,45.9,60.9,2,4.4,32.9,5.0,3.2,1.5,10,47.0,1,Low,1,0,0,0
123,14,Female,10,3.7,1,65,Coding,7,14,42,4,81,95.5,76.0,10,9.8,39.9,5.1,3.6,1.7,10,88.2,1,High,1,0,0,1
124,18,Female,3,2.3,1,162,Doubt Solving,6,22,119,10,38,79.8,42.8,6,8.0,-2.6,6.0,0.5,1.9,2,57.0,1,Medium,0,0,0,0
125,23,Male,12,5.1,0,80,Doubt Solving,2,68,17,1,32,90.4,51.4,1,1.1,28.7,7.3,2.2,4.8,6,36.1,0,Low,0,0,0,1
126,20,Male,3,4.7,0,137,Coding,10,0,35,3,48,38.1,54.7,8,9.5,34.8,6.1,2.1,0.4,9,49.4,1,Low,0,1,0,0
127,20,Female,2,4.5,1,67,Doubt Solving,8,68,30,3,73,79.3,51.2,6,5.6,37.2,8.7,2.0,0.0,6,71.9,1,Medium,0,0,1,0
128,24,Female,1,6.0,1,101,,5,12,3,7,92,74.8,46.2,8,6.4,23.2,5.2,5.3,0.3,2,77.2,1,High,1,0,0,1
129,22,Male,10,1.9,1,50,Notes,7,25,76,3,61,63.9,51.0,4,6.5,17.2,8.1,2.2,2.4,2,47.7,1,Low,0,0,0,1
130,23,Female,12,4.5,1,29,Homework,3,51,38,6,81,39.9,96.1,3,4.5,-13.7,7.9,3.8,1.1,4,57.9,1,Medium,0,0,0,1
131,23,Male,10,3.5,1,38,Doubt Solving,10,12,93,10,90,59.0,87.0,10,5.0,8.2,5.7,5.3,2.4,6,76.0,1,High,1,0,0,0
132,16,Male,2,2.2,1,137,Doubt Solving,5,95,54,4,90,73.2,95.3,4,5.7,3.7,6.4,0.0,2.7,8,73.3,1,Medium,0,0,1,0
133,20,Female,3,1.4,1,171,Homework,3,54,18,6,40,77.4,93.4,7,9.7,-18.7,7.8,4.4,2.4,5,54.7,1,Medium,0,0,0,1
134,14,Female,1,5.4,1,159,Notes,3,28,67,9,28,38.2,64.0,6,3.0,-2.9,8.3,3.9,2.2,2,37.4,0,Low,0,0,1,0
135,17,Male,10,3.8,1,171,Notes,1,17,64,7,64,61.1,62.2,9,9.2,24.6,7.4,5.5,2.0,7,66.5,1,Medium,0,1,0,0
136,17,Female,3,5.0,1,62,Notes,3,1,39,1,46,59.8,86.6,7,9.8,-1.7,8.6,2.7,1.6,10,55.9,1,Medium,0,0,0,0
137,18,Male,2,3.5,0,60,,7,26,95,8,67,85.0,94.1,3,4.8,-18.0,7.1,5.7,1.6,8,55.3,1,Medium,1,0,0,1
138,20,Female,2,1.7,0,64,Doubt Solving,9,49,75,4,88,32.9,85.1,10,3.2,26.2,6.0,2.8,1.1,9,60.9,1,Medium,0,0,0,1
139,20,Female,2,2.4,0,168,Doubt Solving,1,41,75,8,24,85.0,74.9,5,5.2,28.5,7.1,0.4,2.0,8,42.2,1,Low,0,1,0,0
140,24,Female,3,2.6,0,80,Notes,4,66,83,3,91,84.8,73.4,8,1.9,-18.4,7.1,4.6,2.7,5,88.2,1,High,1,0,0,0
141,17,Female,12,5.9,0,11,Doubt Solving,10,93,74,10,34,78.8,67.8,5,8.4,30.2,6.8,0.1,4.7,6,40.2,1,Low,0,0,1,0
142,20,Male,11,0.5,1,123,Exam Prep,7,9,116,5,96,93.0,67.3,5,3.8,27.8,5.5,5.8,3.6,10,77.4,1,High,0,0,0,0
143,24,Female,10,5.9,1,1,Doubt Solving,6,8,116,3,63,62.6,43.4,3,3.7,17.3,7.3,0.0,4.6,9,55.0,1,Medium,0,1,0,0
144,16,Female,11,5.9,0,72,,4,2,112,3,66,36.7,52.9,4,7.1,-17.3,8.0,4.2,1.1,3,46.1,1,Low,0,0,1,0
145,19,Female,2,6.0,1,75,Notes,3,85,29,3,51,53.2,48.6,9,6.1,36.6,8.8,0.6,1.2,4,58.5,1,Medium,0,0,0,0
146,15,Male,11,3.1,1,24,Coding,6,37,112,4,55,72.8,68.2,9,6.3,-14.0,6.5,3.0,1.5,10,64.4,1,Medium,0,0,1,0
147,23,Female,3,5.8,0,117,Notes,4,74,118,3,68,52.6,57.3,3,5.4,23.2,7.8,0.7,4.8,2,49.4,1,Low,0,0,0,1
148,22,Female,2,2.7,1,107,Coding,5,69,107,2,72,74.3,62.7,5,5.1,25.8,8.0,3.4,2.6,1,67.5,1,Medium,0,0,1,0
149,18,Male,2,0.6,0,98,Doubt Solving,2,68,94,6,42,33.1,98.3,8,3.8,36.8,7.4,3.4,4.1,7,34.6,0,Low,0,1,0,0
150,19,Female,1,1.7,1,21,Doubt Solving,9,29,27,1,53,34.9,85.9,5,3.5,36.9,5.9,0.4,4.1,6,38.7,0,Low,1,0,0,0
151,17,Male,1,5.7,0,55,,2,13,107,5,37,30.7,48.4,7,9.9,-3.3,7.6,0.9,4.4,5,47.9,1,Low,0,0,0,1
152,24,Male,3,0.6,1,148,Coding,4,1,48,6,31,98.3,88.5,10,4.6,-6.1,8.9,4.3,1.0,4,61.8,1,Medium,1,0,0,1
153,23,Female,3,3.5,1,54,Notes,8,96,92,1,21,48.3,66.5,3,5.6,4.7,7.0,4.0,2.6,4,24.1,0,Low,1,0,0,0
154,20,Female,11,0.9,0,39,Homework,7,100,40,1,46,85.7,91.3,2,4.6,36.1,7.7,1.7,3.0,1,52.4,1,Medium,0,1,0,0
155,22,Female,10,2.1,1,178,Homework,4,7,85,7,69,92.1,85.6,2,7.5,23.4,5.2,1.1,2.6,7,58.0,1,Medium,0,0,0,1
156,20,Male,11,1.0,0,149,Notes,8,73,108,6,50,41.0,71.1,9,2.6,34.7,7.3,4.1,4.3,8,50.1,1,Medium,0,0,0,0
157,14,Other,3,5.2,1,155,Doubt Solving,6,84,48,9,67,43.9,83.2,1,1.5,-6.9,4.2,3.2,4.7,9,40.2,1,Low,0,0,0,0
158,14,Male,10,3.8,1,120,Coding,8,82,28,4,88,56.8,96.2,1,9.8,-15.9,8.2,1.5,1.1,10,58.8,1,Medium,0,0,1,0
159,22,Male,11,5.5,1,3,Coding,4,98,0,3,36,65.3,72.3,2,5.8,-18.5,5.1,5.9,0.3,9,41.9,1,Low,1,0,0,0
160,24,Male,12,4.3,0,25,Notes,5,17,84,6,62,67.4,48.9,6,6.0,-15.7,4.3,2.3,3.7,2,62.7,1,Medium,0,0,0,1
161,22,Female,12,5.8,0,111,Notes,4,70,30,8,90,57.0,74.1,6,5.2,30.5,4.9,4.1,2.5,10,72.6,1,Medium,1,0,0,1
162,17,Female,10,3.3,1,112,Exam Prep,7,12,26,5,37,71.0,42.8,6,1.4,32.3,6.3,5.3,4.7,8,47.4,1,Low,1,0,0,1
163,22,Female,1,4.0,0,22,,4,45,34,3,85,81.5,67.2,6,7.1,35.0,4.2,5.7,3.5,4,70.5,1,Medium,1,0,0,1
164,16,Female,10,3.7,1,168,Coding,5,53,7,3,50,79.0,53.4,6,6.1,4.5,4.2,5.4,1.6,6,69.0,1,Medium,0,0,0,0
165,20,Male,11,3.2,1,57,,9,11,39,1,82,32.1,78.7,8,2.3,8.0,6.6,3.6,2.7,10,66.1,1,Medium,0,0,0,1
166,19,Female,2,5.2,1,7,Exam Prep,8,39,57,6,47,71.5,64.0,6,5.7,-8.6,6.8,1.3,4.5,7,59.6,1,Medium,1,0,0,0
